xi,beta,rho_topo,gini_final,matthew_final,shannon_final
3,0.1,0.2,0.11986233085943372,2.3090834617614746,6.189252853393555
3,0.1,0.3,0.12470764735776803,2.333379030227661,6.186707496643066
3,0.1,0.5,0.13322874584075806,2.541788339614868,6.184369087219238
3,0.1,0.8,0.13173754374446053,2.2313249111175537,6.18504524230957
3,0.1,1.0,0.14545593292765063,2.522416830062866,6.177874565124512
3,1.0,0.0,0.143850641377595,3.197730302810669,6.173550605773926
3,1.0,0.1,0.13314946951998244,3.5617964267730713,6.180545330047607
3,1.0,0.2,0.13385079206520242,2.8797247409820557,6.179959774017334
3,1.0,0.3,0.14600500527609955,2.8713784217834473,6.175678253173828
3,1.0,0.5,0.14971032408614238,2.9172744750976562,6.172329902648926
3,1.0,0.8,0.15756315260249032,3.864119291305542,6.166904926300049
3,1.0,1.0,0.14542059134516458,2.2452690601348877,6.178857803344727
4,0.01,0.0,0.07063259782964934,1.982061505317688,6.205341339111328
4,0.01,0.1,0.0990254939588204,1.8670499324798584,6.198574542999268
4,0.01,0.2,0.12113464096538348,1.7880666255950928,6.191244602203369
4,0.01,0.3,0.13923466488038352,1.7523680925369263,6.183869361877441
4,0.01,0.5,0.1685891367943418,2.016908645629883,6.170396327972412
4,0.01,0.8,0.18233363705085487,3.0134217739105225,6.1611785888671875
4,0.01,1.0,0.1954877435848561,2.416367769241333,6.154259204864502
4,0.1,0.0,0.08417211925172596,1.8550971746444702,6.201122283935547
4,0.1,0.1,0.09331863789105717,1.9820929765701294,6.200193405151367
4,0.1,0.2,0.10489109224340945,1.9308291673660278,6.196771144866943
4,0.1,0.3,0.12110139785802845,1.8934047222137451,6.191071510314941
4,0.1,0.5,0.12846475015608436,1.7183181047439575,6.188912868499756
4,0.1,0.8,0.1493513110070927,2.1416139602661133,6.179565906524658
4,0.1,1.0,0.15475321954522275,1.8638525009155273,6.177152633666992
4,1.0,0.0,0.12420854059233997,2.2155356407165527,6.186036109924316
4,1.0,0.1,0.11813029716403112,2.5914011001586914,6.188510417938232
4,1.0,0.2,0.12120778558799429,3.322263717651367,6.187626838684082
4,1.0,0.3,0.13021724167845608,2.9643819332122803,6.182726860046387
